reviewerID,reviewerName
A0010876CNE3ILIM9HV0,JassyR
A00328401T70RFN4P1IT6,Susan
A00428403I6YA6YYRHJD8,MKS
A00473363TJ8YSZ3YAGG9,Thomas Rogers
A00676013IBZZQ3UYWK47,tank6192
A00700212KB3K0MVESPIY,sandra conklin
A0148968UM59JS3Y8D1M,phil bell
A0188036B1HZ9HA44I66,Anthony
A022899328A0QROR32DCT,Rox
A02734382TCW13I4YD1LE,Alex Ellis
A028157218SXNF1JCTFFG,Kindle Customer
A03236882LUP4ARMDDMXU,Brianne
A03644273ME35ZTMGNCW9,Janis Brooks
A0388397363MZHRU6ALSX,Mustafa alhusseiny
A042274212BJJVOBS4Q85,Pooch Mania
A04275801V46Z4HOOVOF1,Phyllis M Wood
A0590657M6LD804LBT8L,Elyse David
A0607295133OZ2DIJW5P8,Wolfgang M.
A0678500JUN3N7KUG4PS,GigiS
A06944662TFWOKKV4GJKX,BB
A0718784TOWF9DX1DOFD,Vanessa Williams
A07948042MZ11WOB5QRUB,Tres Maria
A08340323HROTOVWMABD2,Carolyn L.
A099766128UI0NCS98N1E,CeDe
A1004703RC79J9,Dean Burns
A1008DPSP6KC9J,Lee F
A100I4UAHGQCF6,Diana Reynolds
A100J5H8FPGPCS,Christine Perry
A100L918633LUO,"NancyL ""THE MOM"""
A100S1JQ5XK960,Sherri Haughton
A100UD67AHFODS,"Expressed Reviews ""Expressed Reviews"""
A100VQNP6I54HS,Cindy A
A100WO06OQR8BQ,"Duffer. ""Bo"""
A100ZQDV7L8PVV,"Herblady22 ""Herblady"""
A10103MJIKKIFE,Dozer
A1013JO8B9COS8,filiz aslan yesilkaya
A1013SLX1L9901,John Englewood
A1016EM9AZDV0Y,In-the-Vicinity
A101BJUZJEZMSX,T. Scavetti
A101BX7DD7EUZ1,firefly52
A101F8M8DPFOM9,Jonathan
A101UMY5QNK67V,Roseann F Blacher
A101URGEMDW2Z7,Bondo
A1020NL552Y4Y0,hardie
A1027BOR2MECKT,"PRC ""Deal Hunter"""
A1027EV8A9PV1O,Paul A. Vincent
A102866V814SOJ,Jason
A102BH7NOAGP6,"Annonymous Buckey ""Houstonian"""
A102IRFAX90DHX,Bob S
A102QPUE2H6BUS,Some other guy
A102SPSNVRMF72,"Davie ""davie"""
A102SVOH0JD2RP,Q. Groessl
A102ZFBCV9QVOA,"K. A. Minden ""Writer, educator, mother, Lyme ..."
A1033JJUMNWJCA,em_z88
A103BJIOJSDJL1,S. Farrar
A103CVD599R8QA,Louis A. Ortiz
A103FPM7ABVMAW,Sean Bryant
A103PIRYKWQKR7,sf mama
A103QH6R6A4FT1,"Rick ""Las Vegas Dealer"""
A103SU3S1XCRBD,Amazon Customer
A103VMN9OENIN6,"2far@prodigy.net ""2far@prodigy.net"""
A103WXT3CHVY0H,Denise Hughes
A103X4A69E68KF,CML
A103X9ST6DPV22,"Amazon Customer ""cheekarae"""
A1047EDJ84IMAS,"Bea ""book addict"""
A1047P9FLHTDZJ,cassie
A104BMR0QRIDSZ,Vanessa
A104Q1OO578IU7,Joseph
A104RT6X4CS5KW,Amazon Customer
A1051DBTLWP5A2,Monkey Momma
A1059MG8KDS2AL,Kayla B
A105A034ZG9EHO,K. Mras
A105CCKIWRGI3X,"Ian H ""wakkoss"""
A105DBCM5OMBDR,Rhonda R
A105IGQQXJN6MK,Bernard
A105L5EX9D0NH8,Dueces Wild
A105S56ODHGJEK,"Peace Daddy ""Eclectic ReflectionZ"""
A105TMLESHR0Y4,Karen Huestis
A105TOJ6LTVMBG,"Aless ""&#34;I came like Water, and like Wind ..."
A105Y470S2O46U,Tanya P
A1061GUVDRBQRS,Sarah L.
A106A5TPFJ1A0F,Elizabeth
A106BS7DV4CCWR,"LCBBurke ""Laurie"""
A106JSOKVUJSH1,"MEF ""bullshmef"""
A106JV1I3L7HAP,yatlady
A106K1RIUF902A,"Derek Dean ""musician, home-recordist, photogr..."
A106MB2IVYFRWR,"S. murugananda ""prof. klapfaddle"""
A106MNO7PYG1WL,Ace Sophia
A106N41RWQVWBE,OG
A106Q1A6LGU4DP,gnapye
A1076V1FMO3G71,Debora K Duren
A1079CQTAUIX6J,John Hufnagel
A107AK1DXUSPTA,"Neon ""Stay rad."""
A107C6XHEWELEO,guitarlifter
A107G4JL41VXN4,Paddie
A107M8JOXPZZED,bluebonnet25
A107MM8DASRY41,Michael
A107MZDLLUULAS,Colonel2112
A107VEGA09AZGA,Blondie
A107WMIXVFLZLZ,nadler369
A1086X0XXO401X,MySpouse
A1086X5YV9M4QF,Amazon Customer
A10889C5ERO6ER,daisy
A108ADRGD763SJ,TonyChicago
A108B8OUQ0GHNF,Jesse A. Ritz
A108MPS97HU4CI,Stewart G. Fontainebleu
A108PGWOC4W7N1,Me
A108VB7LEU7M6W,TNTankgirl
A108XP24UESKSV,"E. Kay ""eclectic6"""
A10938QNO7IYIB,"Ulises Bocchio ""Ulises Bocchio"""
A109CREBBPLP9L,Wanda Goodfellow
A109L3WXD1SJFU,"Cookbook Gal ""Cookbook Gal"""
A109MT9CR8MURZ,BigDog
A10ABG9NA9HYG7,Bluee
A10ACTASW8QPRH,BKMC
A10AFHYG8W4JB8,M.K.
A10AFMNFMHAHAA,Mark Twain
A10AFVU66A79Y1,"Renita ""Flo"""
A10AIA4VPWP6NO,"BeHappy.Me ""Svitlana Shchedrina"""
A10AKE9TAADHVV,"Jennifer Spinner ""wife, mom, all-around nice gal"""
A10AQ33008QC6J,Elena Duhovny
A10ASGFTEHUCB9,"special k ""karr"""
A10ASLX7DTTB6Z,Kristen Stewart
A10BD0288TGRVS,Crystal RN
A10BI85AM7ELMU,Eva M. Wilson
A10BM8CMR5YXQQ,"CDS ""CHawk"""
A10BNAC20GCNHB,Lizzy
A10BOZ1ZHLXBBG,Tony Chan
A10BSS8EZFU0RZ,Denise Fnord
A10BY3IM0JXHV4,angelapfeiffer03
A10BZC79VVV21R,Storm Browne
A10C4O0Q0TWXOL,"Nancy Rector ""Author of A Painful Truth - The..."
A10C5CJK1YKGV0,Steffan Piper
A10C6EZWM85NM4,"Eric Wilson ""TKDWILSON"""
A10CF04CJZC05F,"Suzanne ""Suzanne"""
A10CKOFTMAV45W,"Peter Sindo ""BIGRUCK-US"""
A10CKY22VNWXHK,L. Pierson
A10CRW7XRJBJ2G,jjme9
A10DBG7FPPAE6C,Steve Whitacre
A10DGC2FBLIAYC,Chris in ATL
A10DGX6FDNXCGQ,Bman2912
